"year","weights","gender","educ","urban","income_int_dol","income_quint","WORRIED","HEALTHY","FEWFOOD","SKIPPED","ATELESS","RUNOUT","HUNGRY","WHLDAY","HH_size","employment","hours_work","WP23","WP60","WP68","WP69","WP70","WP16","WP18","WP61","WP63","WP65","WP67"
2017,0.216343444737728,2,2,3,3933.66110016308,5,1,1,1,1,1,1,1,1,1,NA,NA,1,2,1,1,1,1,6,1,2,2,1
2017,0.21791637258566,2,2,3,3869.17485261943,5,0,0,0,0,0,0,0,0,1,NA,NA,1,1,1,2,2,10,8,1,1,2,1
2017,0.838842670110231,2,3,3,2686.92698098571,4,0,0,0,0,0,0,0,0,4,1,1,2,1,2,2,2,8,9,1,1,2,1
2017,1.2508687841916,2,2,3,1791.28465399048,3,0,0,1,0,0,0,0,0,6,NA,NA,1,2,1,1,2,6,8,1,1,2,1
2017,0.435832745171319,2,2,3,2686.92698098571,4,1,1,1,0,0,1,1,0,2,1,2,1,1,1,1,2,6,8,1,1,1,1
2017,1.0596310609969,2,1,3,1791.28465399048,3,1,1,1,1,1,1,1,1,6,NA,NA,1,1,1,1,1,6,12,1,1,2,1
2017,0.625434392095801,2,2,3,2686.92698098571,4,0,0,0,0,0,0,0,0,4,1,4,2,2,2,2,2,6,1,1,2,1,1
2017,1.00653499470861,1,2,3,3582.56930798095,5,1,0,0,0,0,0,0,0,3,1,4,2,1,2,2,1,6,6,1,1,2,1
2017,0.513465314448385,2,2,3,9135.55173535143,5,0,0,1,0,0,0,0,0,2,NA,NA,2,1,2,2,2,6,12,1,1,1,1
2017,1.08171735925727,1,1,3,537.385396197143,1,1,1,1,1,1,1,1,1,2,2,NA,2,1,2,2,2,1,1,1,1,2,1
2017,0.529815530498452,2,1,3,3654.22069414057,5,1,1,1,0,1,0,NA,0,2,NA,NA,1,2,1,1,1,9,3,1,2,2,2
2017,0.504113053120224,2,1,3,1791.28465399048,3,0,0,0,0,0,0,NA,0,3,NA,NA,2,1,2,2,2,6,6,1,1,2,1
2017,2.16343444737728,1,1,3,3224.31237718286,4,1,1,1,0,1,0,0,0,4,NA,NA,2,1,2,2,2,2,12,1,1,2,1
2017,0.884249245422467,1,2,2,2686.92698098571,4,1,1,1,1,1,0,0,0,4,1,4,2,2,2,2,2,6,9,1,1,2,1
2017,0.57432396003237,2,2,2,1934.58742630971,3,0,0,0,0,0,0,0,0,5,NA,NA,2,2,2,2,2,12,12,1,1,2,1
2017,0.884249245422467,1,2,2,1128.509332014,2,1,1,0,0,0,0,0,0,4,1,4,2,1,2,2,2,6,10,1,1,1,1
2017,0.21791637258566,2,2,2,5373.85396197143,5,0,0,0,0,0,0,0,0,1,NA,NA,1,1,1,1,1,6,1,1,1,2,2
2017,0.653386173254065,1,3,2,9135.55173535143,5,0,0,0,0,0,0,0,0,2,1,4,2,1,2,2,2,9,10,1,1,2,1
2017,0.770197971672577,2,2,1,214.954158478857,1,1,1,1,0,1,0,0,0,4,NA,NA,2,2,2,1,2,7,9,1,1,2,2
2017,1.00822610624045,2,1,1,6986.01015056286,5,1,1,1,0,1,1,0,0,2,NA,NA,1,1,1,1,2,6,6,1,2,2,2
2017,2.06931830587806,2,1,1,921.23210776653,2,0,0,0,0,0,0,0,0,7,NA,NA,2,1,1,1,1,11,11,1,1,2,1
2017,2.06931830587806,2,1,1,368.492843106612,1,1,1,1,1,0,0,1,0,7,2,NA,2,2,1,2,1,6,8,2,2,2,2
2017,2.16343444737728,2,1,1,214.954158478857,1,1,1,1,1,1,1,1,1,8,2,NA,2,1,2,2,2,9,11,1,1,1,1
2017,0.925833975972551,2,1,1,343.926653566171,1,1,1,1,1,0,0,0,0,6,NA,NA,2,1,2,2,2,6,12,1,2,2,3
2017,0.702580410015022,2,1,1,1934.58742630971,3,0,0,1,0,0,0,0,0,2,1,1,1,1,1,1,2,6,7,1,2,2,2
